pincode,status,is_prime,state
160012,Serviceable,false,
160014,Serviceable,false,
160015,Serviceable,false,
160017,Serviceable,false,
160018,Serviceable,false,
160020,Serviceable,false,
160022,Serviceable,false,
160023,Serviceable,false,
160025,Serviceable,false,
160026,Serviceable,false,
160027,Serviceable,false,
160028,Serviceable,false,
160029,Serviceable,false,
160030,Serviceable,false,
160031,Serviceable,false,
160033,Serviceable,false,
160034,Serviceable,false,
160035,Serviceable,false,
160036,Serviceable,false,
160041,Serviceable,false,
160044,Serviceable,false,
160045,Serviceable,false,
160047,Serviceable,false,
160050,Serviceable,false,
160052,Serviceable,false,
160054,Serviceable,false,
160055,Serviceable,false,
160056,Serviceable,false,
160059,Serviceable,false,
160061,Serviceable,false,
160063,Serviceable,false,
160071,Serviceable,false,
160101,Serviceable,false,
160102,Serviceable,false,
160106,Serviceable,false,
173205,Serviceable,false,
173207,Serviceable,false,
173209,Serviceable,false,
173211,Serviceable,false,
173212,Serviceable,false,
173215,Serviceable,false,
173220,Serviceable,false,
173233,Serviceable,false,
173234,Serviceable,false,
173235,Serviceable,false,
174001,Serviceable,false,
174002,Serviceable,false,
174004,Serviceable,false,
174010,Serviceable,false,
174011,Serviceable,false,
174012,Serviceable,false,
174013,Serviceable,false,
174015,Serviceable,false,
174021,Serviceable,false,
174022,Serviceable,false,
174023,Serviceable,false,
174024,Serviceable,false,
174026,Serviceable,false,
174027,Serviceable,false,
174028,Serviceable,false,
174029,Serviceable,false,
174030,Serviceable,false,
174031,Serviceable,false,
174033,Serviceable,false,
174034,Serviceable,false,
174102,Serviceable,false,
174103,Serviceable,false,
174301,Serviceable,false,
174303,Serviceable,false,
174305,Serviceable,false,
174306,Serviceable,false,
174307,Serviceable,false,
174310,Serviceable,false,
174315,Serviceable,false,
174321,Serviceable,false,
174405,Serviceable,false,
176001,Serviceable,false,
176022,Serviceable,false,
176023,Serviceable,false,
176025,Serviceable,false,
176028,Serviceable,false,
176031,Serviceable,false,
176037,Serviceable,false,
176042,Serviceable,false,
176047,Serviceable,false,
176052,Serviceable,false,
176057,Serviceable,false,
176060,Serviceable,false,
176064,Serviceable,false,
176065,Serviceable,false,
176076,Serviceable,false,
176081,Serviceable,false,
176082,Serviceable,false,
176083,Serviceable,false,
176084,Serviceable,false,
176086,Serviceable,false,
176087,Serviceable,false,
176088,Serviceable,false,
176096,Serviceable,false,
176102,Serviceable,false,
176103,Serviceable,false,
176115,Serviceable,false,
176125,Serviceable,false,
176200,Serviceable,false,
176204,Serviceable,false,
176205,Serviceable,false,
176206,Serviceable,false,
